순위,선수,팀,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루 실패,볼넷,사구,삼진,병살,장타율,출루율,OPS,실책,희생플라이,희생번트,장타,땅볼,뜬공,땅볼/뜬공,결승타,투구수/타석,추정득점,고의사구,멀티히트,득점권타율,대타타율,볼넷/삼진,순수장타율,GPA,wRC+,wOBA,WAR,BABIP,볼넷비율,삼진비율,RC,SecA
1,박찬호,KIA,0.287,134,595,516,75,148,18,2,5,185,42,27,6,62,3,69,7,0.359,0.363,0.722,16,6,8,25,138,167,0.83,3,3.86,75.1,0,37,0.294,0,0.9,0.072,0.253,102.9,0.341,4.2,0.319,10.4,11.6,67.2,0.233
2,최형우,KIA,0.307,133,549,469,74,144,30,1,24,248,86,1,0,67,8,98,9,0.529,0.399,0.928,0,5,0,55,103,129,0.8,9,3.99,95.1,8,38,0.294,0.6,0.68,0.222,0.312,156.6,0.416,5,0.341,12.2,17.9,97.6,0.367
3,위즈덤,KIA,0.236,119,486,424,73,100,20,1,35,227,85,3,0,52,4,142,9,0.535,0.321,0.856,13,6,0,56,67,121,0.55,5,4.39,75.8,2,25,0.207,0.2,0.37,0.3,0.278,125.4,0.372,3.5,0.257,10.7,29.2,72.5,0.429
4,오선우,KIA,0.265,124,474,437,58,116,17,1,18,189,56,0,2,34,3,158,11,0.432,0.323,0.755,11,0,0,36,92,71,1.3,7,4.07,56.7,2,32,0.239,0.143,0.22,0.167,0.253,103.5,0.342,1.6,0.375,7.2,33.3,60.2,0.24
5,김호령,KIA,0.283,105,381,332,46,94,26,3,6,144,39,12,1,34,6,94,4,0.434,0.359,0.793,6,1,8,35,55,90,0.61,1,3.8,52.5,0,26,0.27,0,0.36,0.151,0.27,119.9,0.365,3.1,0.378,8.9,24.7,50.4,0.286
6,나성범,KIA,0.268,82,310,261,30,70,16,0,10,116,36,0,0,42,6,79,6,0.444,0.381,0.825,0,1,0,26,52,61,0.85,4,4.14,44.5,1,16,0.257,0.4,0.53,0.176,0.282,131.6,0.381,2.4,0.347,13.5,25.5,42.9,0.337
7,김선빈,KIA,0.321,84,308,271,31,87,18,1,3,116,46,4,0,31,3,35,9,0.428,0.395,0.823,9,1,2,22,85,65,1.31,5,3.93,43,0,25,0.352,0.333,0.89,0.107,0.285,133.2,0.383,1.6,0.359,10.1,11.4,45.3,0.236
8,한준수,KIA,0.225,103,276,244,33,55,12,1,7,90,26,0,0,26,3,48,4,0.369,0.304,0.673,3,3,0,20,59,85,0.69,4,3.94,29.3,1,11,0.197,0.261,0.54,0.143,0.229,81.1,0.311,1,0.25,9.4,17.4,27,0.25
9,김태군,KIA,0.258,100,274,236,20,61,10,1,5,88,31,0,0,17,10,20,9,0.373,0.331,0.704,7,3,8,16,78,80,0.98,3,3.5,29.2,1,16,0.278,0,0.85,0.114,0.242,92.9,0.327,1.5,0.262,6.2,7.3,27.1,0.186
10,김규성,KIA,0.233,133,222,193,30,45,4,0,3,58,16,5,2,21,2,49,1,0.301,0.313,0.614,10,1,5,7,47,53,0.89,2,3.8,20.8,0,9,0.204,0.714,0.43,0.067,0.216,69.4,0.295,0.1,0.296,9.5,22.1,17.9,0.192
11,윤도현,KIA,0.275,40,160,149,24,41,7,2,6,70,17,2,1,8,1,36,1,0.47,0.316,0.786,9,0,2,15,35,37,0.95,1,3.63,21.6,0,12,0.296,0,0.22,0.195,0.26,109.9,0.351,-0.1,0.327,5,22.5,21.8,0.255
12,변우혁,KIA,0.218,47,153,142,11,31,7,0,0,38,17,0,0,10,1,47,3,0.268,0.275,0.543,4,0,0,7,28,36,0.78,3,3.95,9.3,0,9,0.311,0.2,0.21,0.049,0.191,44.2,0.26,-0.1,0.326,6.5,30.7,10.3,0.12
13,김석환,KIA,0.265,47,134,117,14,31,1,2,2,42,16,0,0,14,2,55,0,0.359,0.351,0.71,0,1,0,5,22,10,2.2,3,4.51,16.3,0,7,0.345,0.625,0.25,0.094,0.248,98.9,0.336,0.4,0.475,10.4,41,14.4,0.214
14,고종욱,KIA,0.296,46,123,115,13,34,2,0,3,45,16,2,1,5,0,17,2,0.391,0.317,0.708,0,3,0,5,35,32,1.09,3,3.46,14.9,1,7,0.321,0.438,0.29,0.096,0.24,87.3,0.319,0.3,0.316,4.1,13.8,14.6,0.148
15,김도영,KIA,0.309,30,122,110,20,34,9,0,7,64,27,3,0,10,0,23,3,0.582,0.361,0.943,5,2,0,16,22,33,0.67,5,3.64,22,1,10,0.294,1,0.43,0.273,0.308,152.3,0.41,1.4,0.329,8.2,18.9,23.5,0.391
16,이창진,KIA,0.161,37,113,93,11,15,3,0,1,21,9,0,2,16,2,22,2,0.226,0.295,0.521,1,1,1,4,28,29,0.97,2,4.27,7.1,0,2,0.143,0.5,0.73,0.065,0.189,48.7,0.266,-0.4,0.197,14.2,19.5,6,0.215
17,박민,KIA,0.202,71,105,94,11,19,5,0,1,27,6,1,0,5,3,33,1,0.287,0.265,0.552,3,0,3,6,19,23,0.83,0,3.78,7.2,0,4,0.211,0.25,0.15,0.085,0.191,45.5,0.262,0.5,0.3,4.8,31.4,6.5,0.149
18,박정우,KIA,0.274,53,75,62,17,17,2,0,0,19,4,2,1,10,3,12,1,0.306,0.4,0.706,0,0,0,2,17,16,1.06,0,3.92,8.9,0,2,0.267,0,0.83,0.032,0.257,110.9,0.352,0.2,0.34,13.3,16,7.1,0.21
