시도,화재유형,발화요인대분류,발화요인소분류,장소대분류,인명피해_발생여부,발생_월,발생_시간,발생_요일
전북특별자치도,"건축,구조물",부주의,기타(부주의),생활서비스,0,1,0,2
서울특별시,기타(쓰레기 화재등),부주의,담배꽁초,기타,0,1,0,2
경상북도,기타(쓰레기 화재등),부주의,담배꽁초,기타,0,1,0,2
충청북도,"자동차,철도차량",기계적 요인,"과열, 과부하","자동차,철도차량",0,1,0,2
부산광역시,"자동차,철도차량",미상,미상,"자동차,철도차량",0,1,0,2
전라남도,"자동차,철도차량",기계적 요인,"오일,연료누설","자동차,철도차량",0,1,1,2
경기도,"건축,구조물",부주의,가연물 근접방치,주거,0,1,1,2
부산광역시,"건축,구조물",방화,방화,주거,0,1,1,2
인천광역시,"건축,구조물",미상,미상,주거,0,1,1,2
충청북도,"건축,구조물",부주의,가연물 근접방치,산업시설,0,1,1,2
강원특별자치도,"건축,구조물",부주의,가연물 근접방치,주거,0,1,1,2
충청남도,기타(쓰레기 화재등),부주의,쓰레기 소각,기타,0,1,2,2
부산광역시,기타(쓰레기 화재등),부주의,담배꽁초,기타,0,1,2,2
경기도,"자동차,철도차량",부주의,담배꽁초,"자동차,철도차량",0,1,2,2
서울특별시,기타(쓰레기 화재등),부주의,가연물 근접방치,기타,1,1,2,2
충청남도,"건축,구조물",부주의,가연물 근접방치,산업시설,0,1,3,2
충청북도,"자동차,철도차량",교통사고,교통사고,"자동차,철도차량",0,1,3,2
경기도,"건축,구조물",방화의심,방화의심,산업시설,0,1,3,2
충청북도,"건축,구조물",부주의,가연물 근접방치,주거,0,1,3,2
인천광역시,"건축,구조물",부주의,담배꽁초,기타서비스,0,1,3,2
부산광역시,기타(쓰레기 화재등),부주의,담배꽁초,기타,0,1,4,2
울산광역시,기타(쓰레기 화재등),부주의,담배꽁초,기타,0,1,4,2
울산광역시,"건축,구조물",화학적 요인,자연발화,생활서비스,0,1,4,2
서울특별시,"건축,구조물",전기적 요인,절연열화에 의한 단락,생활서비스,0,1,4,2
서울특별시,"건축,구조물",부주의,"불씨,불꽃,화원방치",생활서비스,0,1,4,2
서울특별시,기타(쓰레기 화재등),부주의,기타(부주의),기타,0,1,5,2
대구광역시,"건축,구조물",부주의,기타(부주의),주거,0,1,5,2
부산광역시,"건축,구조물",부주의,가연물 근접방치,"의료,복지시설",0,1,5,2
광주광역시,"건축,구조물",미상,미상,산업시설,0,1,5,2
경상북도,"건축,구조물",미상,미상,주거,0,1,5,2
경기도,"건축,구조물",방화,방화,주거,0,1,5,2
경기도,"건축,구조물",미상,미상,산업시설,0,1,6,2
광주광역시,"자동차,철도차량",방화,방화,"자동차,철도차량",0,1,7,2
전라남도,"건축,구조물",전기적 요인,접촉불량에 의한 단락,산업시설,0,1,7,2
전라남도,"건축,구조물",기계적 요인,"과열, 과부하",주거,0,1,7,2
경상북도,"건축,구조물",전기적 요인,트래킹에 의한 단락,주거,0,1,8,2
충청남도,"자동차,철도차량",부주의,가연물 근접방치,"자동차,철도차량",0,1,8,2
인천광역시,"건축,구조물",전기적 요인,절연열화에 의한 단락,주거,0,1,8,2
인천광역시,"건축,구조물",전기적 요인,"누전,지락",주거,0,1,8,2
전북특별자치도,"건축,구조물",부주의,"불씨,불꽃,화원방치",주거,0,1,8,2
