위도,경도,정류소ID,정류소명,정류소번호,수집일시,위치구분
35.84862,128.51588,DGB7041046200,이곡역(3번출구),863,2026-07-02,달서구
35.85018,128.52916,DGB7041046400,용산역(6번출구),1133,2026-07-02,달서구
35.852,128.52718,DGB7041046600,롯데캐슬그랜드,1132,2026-07-02,달서구
35.85224,128.52718,DGB7041046700,대구지방법원서부지원,1131,2026-07-02,달서구
35.85337,128.52473,DGB7041046800,달구벌종합복지관앞,1128,2026-07-02,달서구
35.8532,128.52467,DGB7041046900,달구벌종합복지관건너,1127,2026-07-02,달서구
35.8541,128.52626,DGB7041047000,장산초등학교앞,9284,2026-07-02,달서구
35.85396,128.52644,DGB7041047100,장산초등학교건너,1129,2026-07-02,달서구
35.85413,128.52892,DGB7041047200,1차서한화성타운앞,1125,2026-07-02,달서구
35.84182,128.53182,DGB7041047300,달서에스케이뷰아파트(북편),20948,2026-07-02,달서구
35.84195,128.53262,DGB7041047400,영남네오빌비스타,734,2026-07-02,달서구
35.84178,128.53501,DGB7041047500,달서구새마을회건너,20949,2026-07-02,달서구
35.84196,128.53509,DGB7041047600,달서구새마을회앞,733,2026-07-02,달서구
35.84011,128.54027,DGB7041047700,새본리중학교앞,20950,2026-07-02,달서구
35.84005,128.54087,DGB7041047800,본리도서관앞,20952,2026-07-02,달서구
35.83941,128.54278,DGB7041047900,달서시장건너,741,2026-07-02,달서구
35.83961,128.54328,DGB7041048000,달서시장앞,21953,2026-07-02,달서구
35.83935,128.54639,DGB7041048100,본리롯데캐슬,20951,2026-07-02,달서구
35.83854,128.55195,DGB7041048300,삼호아파트앞,4587,2026-07-02,달서구
35.84465,128.5524,DGB7041048500,남부초등학교건너,744,2026-07-02,달서구
35.84494,128.55216,DGB7041048600,남부초등학교앞,21026,2026-07-02,달서구
35.84719,128.55197,DGB7041048700,상서고등학교건너,20956,2026-07-02,달서구
35.84708,128.55172,DGB7041048800,상서고등학교앞,747,2026-07-02,달서구
35.85151,128.55431,DGB7041048900,두류공원(야외음악당건너),749,2026-07-02,달서구
35.85177,128.5549,DGB7041049000,두류공원(야외음악당앞),748,2026-07-02,달서구
35.85382,128.55741,DGB7041049100,두류3동파출소건너,901,2026-07-02,달서구
35.85392,128.55772,DGB7041049200,두류3동파출소앞,750,2026-07-02,달서구
35.85578,128.56229,DGB7041049400,이월드(구.우방랜드)건너,903,2026-07-02,남구
35.8553,128.56046,DGB7041049500,이월드(구.우방랜드)앞,902,2026-07-02,달서구
35.8568,128.5652,DGB7041049600,두류파출소건너,601,2026-07-02,남구
35.85648,128.5645,DGB7041049700,두류파출소앞,618,2026-07-02,남구
35.85628,128.52103,DGB7041051200,성서청구타운앞,5016,2026-07-02,달서구
35.85225,128.52914,DGB7041051300,대구학생문화센터,1130,2026-07-02,달서구
35.84599,128.53695,DGB7041051400,우방드림시티앞,5177,2026-07-02,달서구
35.83601,128.53063,DGB7041051500,대건고교-효성여고앞,814,2026-07-02,달서구
35.83244,128.53119,DGB7041051600,월성주공3단지,812,2026-07-02,달서구
35.83613,128.53078,DGB7041051700,대건고교-효성여고건너,813,2026-07-02,달서구
35.84087,128.53048,DGB7041051800,장기먹거리촌앞,735,2026-07-02,달서구
35.85719,128.51758,DGB7041051900,성산초등학교앞,870,2026-07-02,달서구
35.85705,128.51792,DGB7041052000,성산중학교앞,869,2026-07-02,달서구
35.84525,128.52802,DGB7041052400,장기파랑새마을앞,384,2026-07-02,달서구
35.84796,128.52779,DGB7041052500,장기영남네오빌,149,2026-07-02,달서구
35.85876,128.51774,DGB7041052600,성서보성타운2차건너2,20962,2026-07-02,달서구
35.90696,128.60863,DGB7041052700,전자관,20482,2026-07-02,북구
35.81468,128.50939,DGB7041052800,유천포스코건너,21800,2026-07-02,달서구
35.81437,128.50915,DGB7041052900,유천포스코앞,1639,2026-07-02,달서구
35.81731,128.50556,DGB7041053000,성서4차산업단지앞1,1646,2026-07-02,달서구
35.81737,128.50395,DGB7041053100,대천교,21019,2026-07-02,달서구
35.81158,128.51458,DGB7041053200,유천교1,21602,2026-07-02,달서구
35.81148,128.51422,DGB7041053300,유천교2,2706,2026-07-02,달서구
35.85031,128.5307,DGB7041053400,우방죽전타운앞2,1902,2026-07-02,달서구
35.817,128.53955,DGB7041053500,상인현대맨션앞,2514,2026-07-02,달서구
35.84548,128.53077,DGB7041053700,장기초록나라건너,5231,2026-07-02,달서구
35.84788,128.5308,DGB7041053800,대구반도체마이스터고등학교 건너,4854,2026-07-02,달서구
35.85354,128.53716,DGB7041053900,죽전119안전센터건너,1316,2026-07-02,달서구
35.82482,128.50314,DGB7041054000,대성테크앞,4852,2026-07-02,달서구
35.82478,128.50316,DGB7041054100,삼우섬유앞,4853,2026-07-02,달서구
35.84229,128.4917,DGB7041054200,삼성물류센터앞,4851,2026-07-02,달서구
35.83515,128.49312,DGB7041054300,신흥버스,21623,2026-07-02,달서구
35.82484,128.52668,DGB7041054400,조암초등학교앞,9235,2026-07-02,달서구
35.82329,128.52251,DGB7041054500,월성코오롱하늘채앞,9234,2026-07-02,달서구
35.82355,128.52244,DGB7041054600,월성코오롱하늘채건너,2421,2026-07-02,달서구
35.82544,128.5276,DGB7041054700,조암초등학교건너,9282,2026-07-02,달서구
35.81976,128.52115,DGB7041054800,월배이안아파트건너,2414,2026-07-02,달서구
35.81972,128.52082,DGB7041054900,월배이안아파트앞,2415,2026-07-02,달서구
35.85805,128.52097,DGB7041055000,성서주공5단지앞,20968,2026-07-02,달서구
35.82598,128.5566,DGB7041055100,달서별빛캠핑장앞,2467,2026-07-02,달서구
35.8218,128.53402,DGB7041055200,상인역e-편한세상앞,9123,2026-07-02,달서구
35.8538,128.49987,DGB7041055300,청남타운앞,2445,2026-07-02,달서구
35.82106,128.51922,DGB7041055400,조암네거리1,1451,2026-07-02,달서구
35.82085,128.51922,DGB7041055500,조암네거리2,1509,2026-07-02,달서구
